M=1052,|x-x_1|=1.73E-07, 
a, 1.00E-07, 1.00E-08, 1.00E-09, 1.00E-10, 
b, 1.00E-08, 1.00E-09, 1.00E-10, 1.00E-11, 
c, 1.00E-08, 1.00E-09, 1.00E-10, 1.00E-11, 
E_{exact} vs E_{asym}, 2.65E-02, 2.76E-05, 2.76E-08, 2.76E-11, 
