M=1762,|x-x_1|=1.73E-07, 
a, 1.00E-07, 1.00E-08, 1.00E-09, 1.00E-10, 
b, 1.00E-08, 1.00E-09, 1.00E-10, 1.00E-11, 
c, 1.00E-08, 1.00E-09, 1.00E-10, 1.00E-11, 
E_{exact} vs E_{asym}, 8.22E-03, 8.26E-06, 8.26E-09, 8.25E-12, 
