M=1052,|x-x_1|=1.73E-05, 
a, 1.00E-07, 1.00E-08, 1.00E-09, 1.00E-10, 
E_{exact} vs E_{asym}, 1.06E-06, 1.06E-09, 1.06E-12, 1.10E-15, 
Q_{exact} vs Q_{asym}, 2.80E-02, 2.80E-02, 2.80E-02, 5.56E-02, 
