M=1386,|x-x_1|=1.73E-05, 
a, 1.00E-07, 1.00E-08, 1.00E-09, 1.00E-10, 
E_{exact} vs E_{asym}, 1.08E-06, 1.08E-09, 1.08E-12, 1.12E-15, 
Q_{exact} vs Q_{asym}, 1.96E-02, 1.96E-02, 1.96E-02, 1.89E-02, 
