2.74E-01+9.31E-06i, -6.73E+00-4.86E-06i, 3.00E-02-2.22E-06i, 
-2.25E+00+2.26E-05i, -5.06E+00+3.84E-05i, -3.08E-01+1.25E-06i, 
-2.15E+00+2.11E-05i, -5.31E+00+3.70E-05i, -2.84E-01+7.18E-07i, 
-2.03E+00+1.95E-05i, -5.56E+00+3.51E-05i, -2.58E-01+2.07E-07i, 
-1.89E+00+1.78E-05i, -5.79E+00+3.27E-05i, -2.32E-01-2.70E-07i, 
-1.71E+00+1.61E-05i, -6.00E+00+2.98E-05i, -2.05E-01-7.08E-07i, 
-1.51E+00+1.45E-05i, -6.19E+00+2.65E-05i, -1.77E-01-1.10E-06i, 
-1.29E+00+1.30E-05i, -6.36E+00+2.27E-05i, -1.48E-01-1.44E-06i, 
-1.06E+00+1.17E-05i, -6.50E+00+1.87E-05i, -1.19E-01-1.73E-06i, 
-8.06E-01+1.06E-05i, -6.61E+00+1.43E-05i, -8.97E-02-1.96E-06i, 
-5.44E-01+9.80E-06i, -6.68E+00+9.64E-06i, -6.00E-02-2.12E-06i, 
-2.74E-01+9.31E-06i, -6.73E+00+4.86E-06i, -3.00E-02-2.22E-06i, 
8.45E-15+9.14E-06i, -6.75E+00-7.66E-12i, -2.73E-15-2.25E-06i, 
-4.36E-02+1.93E-05i, -2.43E+00-5.87E-06i, 1.12E-01-9.89E-06i, 
-8.63E-02+1.93E-05i, -2.43E+00-1.17E-05i, 2.23E-01-9.18E-06i, 
-1.27E-01+1.93E-05i, -2.45E+00-1.74E-05i, 3.33E-01-8.02E-06i, 
-1.66E-01+1.93E-05i, -2.47E+00-2.30E-05i, 4.41E-01-6.43E-06i, 
-2.01E-01+1.93E-05i, -2.50E+00-2.83E-05i, 5.47E-01-4.44E-06i, 
-2.33E-01+1.93E-05i, -2.53E+00-3.35E-05i, 6.51E-01-2.08E-06i, 
-2.60E-01+1.91E-05i, -2.56E+00-3.84E-05i, 7.51E-01+5.90E-07i, 
-2.81E-01+1.89E-05i, -2.60E+00-4.30E-05i, 8.48E-01+3.53E-06i, 
-2.98E-01+1.86E-05i, -2.64E+00-4.73E-05i, 9.41E-01+6.67E-06i, 
-3.08E-01+1.82E-05i, -2.68E+00-5.12E-05i, 1.03E+00+9.96E-06i, 
