2.65E-01+8.00E-06i, -7.48E+00-3.78E-06i, 2.18E-02-1.66E-06i, 
5.27E-01+8.35E-06i, -7.44E+00-7.51E-06i, 4.35E-02-1.61E-06i, 
7.84E-01+8.91E-06i, -7.37E+00-1.12E-05i, 6.52E-02-1.52E-06i, 
1.03E+00+9.67E-06i, -7.28E+00-1.47E-05i, 8.67E-02-1.41E-06i, 
1.27E+00+1.06E-05i, -7.17E+00-1.80E-05i, 1.08E-01-1.26E-06i, 
1.50E+00+1.17E-05i, -7.04E+00-2.11E-05i, 1.29E-01-1.08E-06i, 
1.71E+00+1.30E-05i, -6.88E+00-2.40E-05i, 1.50E-01-8.73E-07i, 
1.91E+00+1.43E-05i, -6.70E+00-2.66E-05i, 1.70E-01-6.39E-07i, 
2.09E+00+1.57E-05i, -6.50E+00-2.89E-05i, 1.90E-01-3.81E-07i, 
2.25E+00+1.71E-05i, -6.29E+00-3.10E-05i, 2.09E-01-1.02E-07i, 
2.38E+00+1.85E-05i, -6.06E+00-3.26E-05i, 2.28E-01+1.96E-07i, 
2.49E+00+1.98E-05i, -5.82E+00-3.40E-05i, 2.47E-01+5.11E-07i, 
2.58E+00+2.11E-05i, -5.57E+00-3.50E-05i, 2.65E-01+8.38E-07i, 
2.65E+00+2.22E-05i, -5.32E+00-3.57E-05i, 2.82E-01+1.18E-06i, 
2.69E+00+2.31E-05i, -5.05E+00-3.62E-05i, 2.98E-01+1.52E-06i, 
2.70E+00+2.39E-05i, -4.79E+00-3.63E-05i, 3.14E-01+1.87E-06i, 
2.69E+00+2.44E-05i, -4.53E+00-3.61E-05i, 3.29E-01+2.21E-06i, 
2.65E+00+2.46E-05i, -4.26E+00-3.58E-05i, 3.43E-01+2.56E-06i, 
2.58E+00+2.46E-05i, -4.01E+00-3.52E-05i, 3.57E-01+2.90E-06i, 
2.49E+00+2.42E-05i, -3.76E+00-3.44E-05i, 3.69E-01+3.22E-06i, 
