M=766,|x-x_1|=1.73E-07, 
a, 1.00E-07, 1.00E-08, 1.00E-09, 1.00E-10, 
E_{exact} vs E_{asym}, 3.68E-01, 4.54E-04, 4.54E-07, 4.54E-10, 
Q_{exact} vs Q_{asym}, 4.19E-02, 4.20E-02, 4.21E-02, 4.93E-02, 
